brandname,keywords,keywords_orig
Oreo,(god) OR (krisjenner) OR (krisjennerad) OR (oreo) OR (oreotrojanhorse) OR (oreotwistonit) OR (stayplayful) OR (trojanhorse) OR (twistonit) OR (ufo),"twistonit, oreo trojan horse, kris jenner, trojan (horse), twist on it, trojanhorse, kris jenner ad, trojan horse, ufo, oreo, krisjenner, oreo twist on it, stay playful, god, kris jenner, twist on it, let me twist on it kris jenner, stay playful, door dash can dash pretty much anything, dash live- dash death, itâ€™s a very long promo code, twist on it, troy, kris jenner"
Paramount+,(child) OR (creed) OR (exclusively) OR (explosions) OR (halo) OR (knuckles) OR (knucklesseries) OR (letsgogethim) OR (newseason) OR (onlyon) OR (paramountcommerical) OR (patrickstewart) OR (sirpatrick),"paramount commerical, patrick stewart, creed, letâ€™s go get him, new season, child, exclusively, knuckles, halo, sir patrick, knuckles, explosions, creed, only on, knuckles series, halo season 2, drew barrymore, punching, hallo, skin, shows, sonic spin-off, master chief, mountain, sonic, drew barrymore, patrick stewart, patrick stewart, picard, pepa, paramount mountain, creed, creed, randall park, randall play jim in the office, ryan reynolds
throw a kid, pigskin, take me higher, guns, warriors, chicago, patrick stewart ad, patrick stewart, paramount+, a mountain of entertainment, paramount+, sir patrick stewart, forest, chinese, show, paramount+ ad, drew, barrymore, patrick stewart, arnold, webelieveinghosts, paramount+, not until the truth comes out, fighting, dangerous, hail arnold, creed, hey arnold, sir patrick, ghostssuperbowl, a mountain of entertainment"
Pfizer,(175yearsofpfizer) OR (famousscientistslipsynctoqueen) OR (havingagoodtime) OR (herestoscience) OR (herestothenextfight) OR (letsoutdocancer) OR (letsoutdocancercom) OR (outdoyesterday) OR (pfizer) OR (pfizerad) OR (pfizerproud) OR (queen) OR (sciencefiguresthroughouthistory),"175 years of pfizer, here's to the next fight, lets outdocancer.com, pfizer ad, letsoutdocancer, science figures throughout history, pfizer, here's to science, herestoscience, queen, having a good time, outdoyesterday, #pfizerproud, famous scientists lip sync to queen, letsoutdocancer.com, letâ€™soutdocancer, letsoutdocancer, don't stop me now, outdo yesterday, cancer, hereâ€™s to science. hereâ€™s to the next fight., 75 years of science with pfizer, don't stop me now, hereâ€™s to the next fight, 175yearsofpfizer, scientist from history, charles pfizer"
Pluto TV,(coachpotato) OR (couchpotato) OR (couchpotatoes) OR (couchpotatofarms) OR (free) OR (plutocommerical) OR (plutotv) OR (plutotvcommerical) OR (potato),"couch potatoes, pluto tv commerical, potato, couch potatoes, couchpotato, coach potato, couch potato farms, couch potatoes, couch potatoes, couch potato, free, potato, couch potato, pluto tv, pluto commerical, streaming, stream now pay never, plutotv, superbowl, the finest free range couch potatoes, pluto tv, america is raised on tv, farmer, romance, tractor, stream now, easy and free, couch potato, farmer, pluto, farm, tv, tv binging as a couch potato, the way tv is supposed to be, pluto tv, country raised on tv, country, farm, pay never, plutotv, couch potatoes, farm, plutotv couch potato farmers, plutotv, stream now pay never"
Popeyes,(fingerlickinggood) OR (kenjeonfrozen) OR (kenjeong) OR (lovethatchicken) OR (lovingthatchickenfrompopeyes) OR (newpopeyeswings) OR (popeyes) OR (popeyessuperbowl) OR (popeyeswings) OR (wings),"love that chicken, popeyes, ken jeong, ken jeon frozen, ken jeong, popeyes wings, finger licking good, wings, ken jeong, popeyes, new popeyes wings, popeyes, popeyes superbowl, loving that chicken from popeyes, ken jeong, love that chicken from popeyes, #lovethatchickenfrompopeyes, the wait is over popeyes, wings, turn down for what, popeyes finally has wings"
Progressive ,(americaninsurance) OR (carhop) OR (home) OR (homeandautoinsurance) OR (homeautolifeinsurance) OR (insurance) OR (kidnplay) OR (localagent) OR (onethingchallenge) OR (progressive) OR (progressivedotcom) OR (replay) OR (tigermascot) OR (whatreallyhappened) OR (whatreallyhappenedreplay),"progressive, â€œwhat really happenedâ€, tiger mascot, whatreallyhappenedreplay, â€œreplayâ€, one thing challenge, car hop, kidnplay, home and auto insurance, insurance, #progressivedotcom, home, #americaninsurance, local agent, #homeautolifeinsurance"
Poppi,(futureofsoda) OR (nofakestuff) OR (nosugar) OR (poppi) OR (poppiad) OR (poppiissoda) OR (poppiisthefutureofsoda) OR (poppisuperbowl) OR (prebiotic) OR (soda) OR (sodasback) OR (strides),"sodasback, #sodasback, no sugar, sodasback, poppi, poppi is soda, prebiotic, poppi ad, soda, future of soda, soda, poppi is the future of soda, nofakestuff, poppi superbowl, strides, poppi, alternative soda, the future of soda is now, sodasback, the future of soda is now, poppi"
Pringles,(chrispratt) OR (mrp) OR (mustache) OR (pringles),"chris pratt, pringles, chris pratt, chris pratt, chris pratt, pringles, chris pratt, mr.p, mr. p, chrispratt, mustache, mustache, mr.p, chris pratt, pringles, chris pratt mustache, pringles guy, mr.p, mr. p, pringles, mustache, #iseemrp, mr p, the pringles movies, mr p, chris pratt with a mustache, , do i get a cut"
Reese's,(caramel) OR (caramelbigcups) OR (caramellayer) OR (caramelyes) OR (delicious) OR (dog) OR (hulahoop) OR (kissinggrandma) OR (reesesbigcup) OR (reesescaramel) OR (reesespeanutbuttercup) OR (yes) OR (yessssss),"caramel, yes!, delicious, hula hoop, caramel yes!, dog, caramel big cups, caramel, caramel, yessssss, reeses big cup, kissinggrandma, reeses caramel, caramellayer, reesespeanutbuttercup, caramel big cup, reeses, i love caramel, caramel big cup, yessssss, reeseâ€™s caramel"
Robert F. Kennedy Jr. Campaign,(itsuptoyou) OR (jfk) OR (kennedy) OR (kennedy2024) OR (kennedy24) OR (kennedy4president) OR (kennedyforpresident) OR (old) OR (rfk) OR (robertfkennedy) OR (robertfkennedyjr) OR (voteindependent),"old, it's up to you, kennedy, kennedy 2024, vote independent, kennedy 4 president, voteindependent, robert f. kennedy jr., robert f kennedy, #kennedy24, rfk, jfk, kennedy for president, kennedy2024, rfk, compensation, 12 month certificate, everything, kennedyforpresident, voteindependent, kennedy2024"
Skechers,(handsfree) OR (handsfreeslipins) OR (mrt) OR (mrttriesslipins) OR (skechers) OR (sketchers) OR (slipins) OR (tisalwaysinskechers) OR (tonyromo) OR (tonyromoandmrt),"mr. t, sketchers, tony romo and mr t, t is always in skechers, hands free slip-ins, skechers, mr.t, slip-ins, mr. t, mr t tries slip ins, slip-ins, mr t, mr t, tony romo, hands free, skechers slip-ins, no t in skechers, pity the fool, ""i pity the fool who touches the shoes to put them on."", slip-ins, quitsayinandstartslip-infool, t is always in skechers, skechers slippery, down shoes"
Snapchat,(lesslikes) OR (lesslikesmorelove) OR (likes) OR (more) OR (morefriends) OR (morelove) OR (moremoremorelikes) OR (moresnapchat) OR (moresnapchatcom) OR (sharelove) OR (snapchat) OR (socialmedia),"socialmedia, less likes more love, more love, more snapchat, likes, less likes, more love, more, more friends, snapchat, snapchat, sharelove, more more more......likes, less likes, moresnapchat.com, flexing, less friends, more friends, snapchat, less friends, moresnapchat.com, snapchat social media, lesslikes, less social media more snapchat, more snapchat, less likes. more love., less social media, more snapchat, likes, more snapchat, snapchatters, more snapchat"
Smiths,(boost) OR (boostmembership) OR (digitalcoupon) OR (freshforeveryone) OR (kroger) OR (smiths),"kroger, smiths, boost, digital coupon, boost membership, fresh for every one"
Squarespace,(aliens) OR (awebsitemakesitreal) OR (hellodownthere) OR (martinscorses) OR (martinscorsese) OR (phone) OR (proofofextraterrestrials) OR (shouldhavetakenbroadway) OR (ufo),"aliens, phone, martin scorses, martin scorsese, hello down there, hello down there, a website makes it real, hello down there, proof of extraterrestrials, ufo, a website makes it real, should have taken broadway, martin scorsese, martin scorsese, hello down there, a website makes it real, squarespace, martin scorsese meets aliens, ufo commercial, squarespace, a website makes it real"
Starry,(hesmyex) OR (icespice) OR (icespicead) OR (icespicegrah) OR (icespicestarry) OR (itstimetoseeothersodas) OR (lemonlimesoda) OR (soda) OR (starry) OR (starryad),"ice spice, ice spice, ice spice ad, ice spice, ice spice starry, starry, starry, ice spice grah, he's my ex, lemon lime soda, ice spice, it's time to see other sodas, soda, starry ad, itâ€™s time to see other sodas, this starry is mad good, ice spice, ice spice, lemon lime ice spice, it's time to see other sodas, starry, starry, ice spice ex, #icespice ad, sprite, ice spice for starry, other sodas, it's time to see other sodas, starry head stream, this starry is mad good, pepsico, ice spice, mad good, starry, icespice, starry, ex, ice spice, its time to see other sodas, lemon lime"
State Farm,(agentstatefarm) OR (arnold) OR (arnoldschwargenagger) OR (arnoldschwarzenegger) OR (arnoldschwarzennegger) OR (arnoldswartz) OR (dannydevito) OR (doritosdinamita) OR (likeagoodneighbaa) OR (marveldeadpoolwolverine) OR (neighbaaa) OR (statefarm),"agentstatefarm, marveldeadpoolwolverine, doritosdinamita, arnold schwarzennegger, state farm, arnold swartz, agent state farm, neighbaaa, arnold schwarzenegger, arnold schwargenagger, arnold, like a good neighbaa, arnold schwarzenegger, state farm, danny devito, arnold schwarzenegger, jake from state farm, arnold swchwartenegar ad, arnold, danny devito, like a good neighbaaa, danny devito, arnold schwarzenegger, like a good neighbor, neighbaaa, like a good neighbor, neighbaaa, danney devito, danny devito ad, state farm is here, neighbaaa, danny devito, state farm, like a good neighbor, #statefarm, arnold schwarzenegger, #arnoldschwarzenegger, like a good neighbaaa, #agentstatefarm, arnold schwarzennegger, arnold schwarzenegger, danny devito statefarm, neighbaaa, #arnoldschwarzenegger, danny devito, state farm, sheep statefarm ad, danny devito, #likeagoodneighbaa, neighbah, danny devito, arnold, schwarzenegger state farm, arnold schwarzenegger, #agentstatefarm, like a good neighbaa, state farm is there, like a good neighbaa, state farm is there, like a good neighbaa, state farm is there, neighbaaaâ€¦.nieghbaaa, just like itâ€™s written paper, just like itâ€™s written on paper, itâ€™s not neighbor..itâ€™s neighbor, you are a backstabber, i am a backstabber, you are a backstabber, i am a backstabber"
T-Mobile,(5gstreaming) OR (audition) OR (homeinternet) OR (jasonmamao) OR (jasonmamoa) OR (jasonmomoa) OR (jasonmomoadancing) OR (jeniferhudson) OR (magentastatus) OR (tmobile) OR (whatafeeling),"jason mamoa, home internet, 5g streaming, jason momoa, audition, jason momoa dancing, magentastatus, magenta status, jason momoa, jason mamoa, what a feeling!, t-mobile, jenifer hudson, t-mobile, jason mamao, patrick j adams, t-mobile, #jasonmomoa, t-mobile, fastinternet, bradleycooper, what a feeling song t-mobile, tmobile audition, no audition, zach braff, 5g home internet, can't stop streaming, comedy, no need to audition, 5g home internet, parody singing, suits, t-mobile auditions, #magentastatus, jason momoa, flashdance, lauradern, do it without the shirt on, bradley cooper ad, vip, donald faison, â€œparty is back onâ€, @jasonmamoa, opportunity, tmobile magenta status, jason momoa, zach braff, donald faison, wings, reunite, magenta status, #5g, scrubs, #tmobile, #jasonmomoa #zachbraff #donaldfaison #jenniferbeals, #flashdance, phone-boy, magenta status, no need to audtition"
TurboTax,(kickofftowin) OR (makeyourmovescount) OR (makeyourmovescountsuperbowl) OR (nachos) OR (nachosareready) OR (onemilliondollarsturbotax) OR (quinta) OR (quintabrunson) OR (suberbowlfile) OR (superbowlfile) OR (superbowlfileturbotax) OR (turbotax) OR (turbotaxsuperbowlfile) OR (write),"make your moves count, turbotax super bowl file, quinta, superbowlfile, nachos, superbowl file turbotax, turbotax, kick off to win, one million dollars turbo tax, nachosareready, write, #makeyourmovescount superbowl, quinta brunson, suberbowl file, turbotax super bowl file, quintabrunson, one million, turbotax ad, #makeyourmovescount, kick off your taxes, turbotax we'll wait"
Toyota Tacoma,(2024tacoma) OR (allnew) OR (darefulhandle) OR (mostpowerfultacoma) OR (nomegustahandle) OR (seriouslyrob) OR (seriouslyrobhandle) OR (shutthefrontdoorhandle) OR (tacoma) OR (thenomegustahandle) OR (woahwoahhandle),"seriously rob, 2024 tacoma, no me gusta handle, most powerful tacoma, woah woah handle, all new, shut the front door handle, tacoma, thenomegustahandle, seriously rob handle, no me gusta handle, tacoma, no megusta handle, dareful handle, shutthefrontdoorhandle, all new tacoma, seriously raw, off roading in a tacoma, most powerful tacoma ever, tacoma handling, shut the front door handle, professional drivers on closed courses, seriously rock, the all new tacoma"
Temu,(10millionreasonstoshop) OR (ai) OR (allmywishescametrue) OR (allofyourwishescametrue) OR (animateddressesfortemu) OR (michaelcera) OR (oohoohtemu) OR (orange) OR (shoplikeabillionaire) OR (showlikeabillionare) OR (temu) OR (temusuperbowl) OR (wishescometrue),"all my wishes came true, wishes come true, orange, #temu superbowl, #10millionreasonstoshop, ai, ooh ooh temu, animated dresses for temu, shop like a billionaire, temu, temu, michael cera, show like a billionare, temu, all of your wishes came true, fast fashion, shop like billionair, shop like a billionaire, #shoplikeabillionaire, #freegiftsgalore, meta, #shoplikeabillionaire, shop like a billionaire, all my wishes came true, shop like a billionaire, shop like a billionaire, cerave skincare, teh-moo, shop like a billionaire, shop like a billionaire, shop like a billionaire, cheap, download, temu ad, #temubiggame, shoplikeabillionare, ai, ooh ooh temu, #temubiggame, e-commerce, shop, superbowl cerave, tee-moo, oo oo temu, shop like a billionaire temu, cheap, shop, temu, #shoplikeabillionaire, #twistonit, #booking.yeah"
Universal,(arianagrande) OR (cynthiaervio) OR (devpatel) OR (jackblack) OR (jordanpeele) OR (kungfupanda) OR (kungfupanda4) OR (monkeyman) OR (wicked) OR (wickedmovie) OR (wickeduniversal) OR (wizardofoz),"wicked, kungfupanda, ariana grande, jackblack, cynthia ervio, kungfupanda4, monkey man, ariana grande, wickedmovie, jordan peele, wizard of oz, wizardofoz, dev patel, wicked, wickeduniversal, can burn down everything, oh!! you are adorable, disturbing but awesome, in theatres march 8"
Uber Eats,(basilbabes) OR (celebritiesgetgroceries) OR (davidbeckham) OR (dontforget) OR (friends) OR (inordertoremembersomething) OR (jenniferaniston) OR (jenniferanistonbuysubereats) OR (remember) OR (ubereats) OR (victoriabeckham) OR (yougottaforgetsomethingelse),"dont forget, jennifer aniston buys uber eats, remember, uber eats, davidbeckham, jennifer aniston, in order to remember something, you gotta forget something else., jennifer aniston, jennifer aniston, celebrities get groceries, friends, victoriabeckham, basil babes, jennifer aniston, david schwimmer, whatever you forget, remember, uber eats gets..., beckham, friends reunion, jelly roll, ubereatsbeckham, nutmeg maidens, i can't forget 10 years of my life., david beckham, 
whatever you forget, remember ubereats, jennifer aniston, ubereats"
Verizon,(5g) OR (barbey) OR (beyonce) OR (beyoncebreakstheintenet) OR (beyoncebreakstheinternet) OR (butcanshebreakverizon) OR (cantbbroken) OR (celebrity) OR (sphere) OR (verizoncanhandleit),"beyonce, beyonce,sphere, cant b broken, celebrity, beyonce, beyonce breaks the internet, beyonce, barbey, verizon can handle it, beyonce breaks the internet, beyonce, 5g, beyonce breaks the intenet, but can she break verizon?, broke the internet, internet, ai, the network is crazy powerful, beyonce, did i break it, barbey, beyonce tries out pop culture, botus, botus, beyonce new music, pop culture with beyonce, 5 g, fast internet, beyonce, crazy powerful, broken, verizon doesnt' break, slayonce,saxy,barbey, tony hale, beyonce, lemonade, im the sphere, barbey, beyonce, barbey, im the sphere, saxophone, break the internet, didn't break it, can she break verizon, fast, beyonce, temu, post malone,usher, volkswagen, homes.com, verizon, beyonce, beyoncÃ©, verzion, act ii, act ii, most relaible 5g, let's get saxy, younceb
the network is crazy powerful, its a hard knock life, drop the new music"
Volkswagen USA,(1949) OR (beetle) OR (custominspection) OR (dasauto) OR (everyonecanuselittlehelp) OR (generationaftergeneration) OR (herbie) OR (historyofthevolkswagen) OR (neildiamond) OR (simpsonpunchbuggy) OR (taigun) OR (volkswagenbeetle) OR (volkswageninamericanmedia) OR (volkswagentype1),"neil diamond, taigun, simpson punch buggy, volkswagenbeetle, custom inspection, beetle, everyone can use little help, volkswagen in american media, neildiamond, volkswagen type 1, 1949, herbie, generation after generation, history of the volkswagen, dasauto, an american story, we shape its metal, we shape its metal, you shape its soul, you shape its soul, i am my cry, i am my sin, volkswagen bug, the story is the same one, volkswagon beetle, herbie, we shape its metal, you shape its soul, we shape its metal, you shape its soul, vw electric, vw buzz"
YouTube TV,(Xyoutubetv) OR (nflsundayticket) OR (youtubetvfootball),"Xyoutubetv, nflsundayticket, youtubetvfootball"
aws,(awsstats) OR (mlandai) OR (playerperformance),"ml and ai, player performance, #awsstats"
balance of nature,(fiberandspice) OR (fruitsandveggies) OR (supplements),"supplements, fruits and veggies, fiber and spice"
best foods,(mayo) OR (meow) OR (petedavidsonex),"mayo, meow, pete davidson ex"
big o tires,(60years) OR (peaceofmind) OR (teamyoutrust),"team you trust, peace of mind, 60 years"
century studios,(freyaallen) OR (planetoftheapes) OR (racistmonkeys),"racist monkeys, freya allen, planet of the apes"
chartway credit union,(bigbank) OR (chartway) OR (creditunion),"big bank, chartway, credit union"
christianity,(feetwashing) OR (hewashedfeet) OR (washingfeet),"washing feet, he washed feet, feet washing"
progressive insurance,(autoandmore) OR (home) OR (hopehegotprogressive) OR (thisisapartyasinparty) OR (whathappenedreplaybyprogressive),"this is a party as in party, what happened replay by progressive, home, auto and more, hope he got progressive"
dareful handle,(seriouslyrob) OR (shutthefrontdoor) OR (tacoma),"shutthefrontdoor, seriouslyrob, tacoma"
dazn,(dazn) OR (jerryrice) OR (taylorswift),"jerry rice, dazn, taylor swift"
deadpool,(comingtogether) OR (deadpool) OR (ryanreynolds) OR (wolverine),"wolverine, deadpool, ryan reynolds, wolverine, coming together, ryan reynolds"
despicable me 4,(artificialintelligence) OR (friendstogether) OR (minions),"minions, artificial intelligence, friends together"
dev patel,(april5thintheaters) OR (imax) OR (jordan),"jordan, imax, april 5th in theaters"
dina mita,(americansfavorite) OR (cholelimon) OR (explodewithflavor),"chole limon, explode with flavor, american's favorite"
"dove, m&ms, popeyes",(almostchampions) OR (bodyconfidence) OR (keepherconfident) OR (kenjeong) OR (mms) OR (popeyeswings) OR (scarlettjohansson) OR (selfesteemproject) OR (thewaitisover),"self-esteemproject, almostchampions, thewaitisover, keepherconfident, scarlettjohansson, kenjeong, bodyconfidence, m&ms, popeyeswings"
dr. umstick,(americansfavoritesince1928) OR (anotherday) OR (anotherdrumstick),"another day, another drumstick, american's favorite since 1928"
dreamworks,(dreamworksanimation) OR (jackblack) OR (kongfupanda4) OR (kungfupanda4) OR (skadoosh),"kong fu panda 4, jack black, jack black, kung fu panda 4, skadoosh, dreamworks animation"
frito-lay,(dontforgetthechips) OR (fritolay) OR (tastethevictory),"fritolay, tastethevictory, dontforgetthechips"
gift mode,(etsy) OR (french) OR (giftmode),"gift mode, etsy, french"
goose strong,(lifetimewarranty) OR (nochange) OR (whyshipeverywhereelse),"lifetime warranty, no change!, why ship everywhere else"
hate.org,(injustice) OR (mlk) OR (silence),"injustice, silence, mlk"
hello fresh,(eatingbetter) OR (freebreakfast) OR (hellofresh) OR (kekepalmer) OR (kekeplamer) OR (recipes),"hello fresh, keke plamer, keke palmer, free breakfast, eating better, recipes"
hoka,(fly) OR (runninginair) OR (shoes),"shoes, running in air, fly"
if,(ifmovie) OR (johnkrasinski) OR (ryanreynolds),"if movie, john krasinski, ryan reynolds"
instacart,(football) OR (grocery) OR (store),"grocery, store, football"
keke palmer,(freebreakfast) OR (freebreakfastforlife) OR (mealkit),"free breakfast, meal kit, free breakfast for life"
lindor,(chocolate) OR (lifeisaball) OR (lindor) OR (lindt) OR (lindtchocolateball) OR (lindtround) OR (lindtsuperbowl) OR (roundroundround),"life is a ball, lindtround, lindt, lindor, lindtchocolateball, life is a ball, roundroundround, lindtsuperbowl, chocolate"
"lion mascot, dan levy ,heidi gardner ,homes. com",(greatstudentteacherratio) OR (quickquestion) OR (wehavedoneyourhomework),"quick question, great student teacher ratio, we have done your homework"
"martin lawrence, shannon sharpe",(oikos) OR (proteinyogurt) OR (yogurt),"oikos, yogurt, protein yogurt"
max thieriot bode donovan,(cbsoriginals) OR (firecountry) OR (fireman),"fireman, fire country, cbs originals"
"meghan trainor, suits cast",(elfcosmetics) OR (meghantrainor) OR (suits),"meghan trainor, suits, elf cosmetics"
morgan stanley,(babies) OR (pickleball) OR (tennis),"pickleball, babies, tennis"
mountain america,(12month) OR (5) OR (certificate),"12 month, certificate, 5%"
mr t in skechers,(downshoes) OR (skechersslippery) OR (tisalwaysinskechers),"t is always in skechers, skechers slippery, down shoes"
navy,(aircraftcarrier) OR (america) OR (americasnavy) OR (dedication) OR (forgedbythesea) OR (navy) OR (never) OR (plane) OR (sea),"aircraft carrier, never, america, forged by the sea, americas navy, sea, dedication, navy, plane"
ncis,(ncishasreturned) OR (ncishawaii) OR (ncissydney),"ncis hawaii, ncis has returned, ncis sydney"
oikos,(holdmyoikos) OR (holdmyokois) OR (martinlawerence) OR (martinlawrence) OR (oikos) OR (shannonsharpe) OR (strongermakeseverythingbetter) OR (takeyouroikoslittleman) OR (tractor) OR (yogurt) OR (youbuiltlikeatowtruck),"holdmyokois, stronger makes everything better, hold my oikos, yogurt, shannon sharpe, oikos, take your oikos little man, shannon sharpe, martin lawrence, tractor, you built like a tow truck, martin lawerence"
pizza hut,(hothoney) OR (pizza) OR (wings),"hot honey, pizza, wings"
silence,(antisemitism) OR (hate) OR (mlk),"antisemitism, mlk, hate"
silk,(almondmilk) OR (feelgood) OR (feelplantygood) OR (jeremyrenner) OR (milk),"jeremy renner, milk, feel planty good, jeremy renner, almond milk, feel good"
sonic the hedgehog 2,(jimcarrey) OR (knuckles) OR (paramountplus),"knuckles, paramount plus, jim carrey"
spectrum,(holeinthewall) OR (spectruminternet) OR (youdeservebetter),"youdeservebetter, spectruminternet, hole in the wall"
stand up to jewish hate,(clarencejones) OR (inittogether) OR (standuptojewishhate),"clarence jones, standuptojewishhate, in it together"
stok,(mascot) OR (roywilliams) OR (wral),"mascot, roy williams, wral"
strongvw,(goseestrong) OR (lifetimewarrantynocharge) OR (onpreownedvehicles),"#goseestrong, #lifetimewarrantynocharge, #onpreownedvehicles"
sunday ticket,(birdteams) OR (footballegg) OR (seahawks),"football egg, bird teams, seahawks"
twisters,(glenpowell) OR (tornado) OR (twistermovie) OR (twisters) OR (twisterstrailer) OR (tylerowens),"tyler owen's, twisters, tornado, twister movie, glen powell, twisters trailer"
uefa,(nobodywatcheslikeus) OR (soccer) OR (ucl),"#soccer, #nobodywatcheslikeus, #ucl"
uefa champions league,(haaland) OR (judebellingham) OR (manchestercity),"haaland, jude bellingham, manchester city"
ultra beer,(beachsoccer) OR (lionelmessi) OR (superiortype),"lionel messi, beach soccer, superior type"
us navy,(navy) OR (never) OR (usmilitary) OR (usnavy) OR (usnavycommercial) OR (usnavysuperbowl),"us navy, us military, us navy commercial, navy, us navy super bowl, never"
veozah,(menopause) OR (morenotflash) OR (notflash),"menopause, not flash, more not flash"
"victoria beckem, davis bechem, usher",(butter) OR (peanut) OR (worthremembering),"worth remembering, peanut, butter"
weekdays,(gamechanger) OR (goodmorningfootball) OR (nfl),"game changer, nfl, goodmorning football"
wicked,(arianagrande) OR (ariangrande) OR (ethanslader) OR (jeffgoldblum) OR (michelleyeoh) OR (universal) OR (wicked),"ariana grande, ariana grande, arian grande, wicked, wicked, michelle yeoh, universal, jeff goldblum, ethan slader"
yeezy,(kanyewest) OR (yeezy) OR (yeezycom),"kanye west, yeezy, yeezy.com"
